序号,动作编码,当前名称,当前器械,当前一级分类,当前子分类,当前主动肌,当前主动肌region,当前协同肌,当前协同肌region,名称结论,分类结论,肌群结论,总评,建议名称,建议器械,建议一级分类,建议子分类,建议主动肌,建议主动肌region,建议协同肌,建议协同肌region,调整建议,事实依据摘要,证据ID,原备注
115,TRICEP_KICKBACK,哑铃臂屈伸后踢,哑铃,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,哑铃臂屈伸后踢,哑铃,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,保留
116,TRICEP_DIP,双杠臂屈伸（三头）,自重,手臂,,肱三头肌,triceps,,,通过,通过,建议调整,建议调整,双杠臂屈伸（三头）,自重,手臂,,肱三头肌,triceps,胸大肌、三角肌前束,chest|deltFront,复合三头推举/臂屈伸补胸大肌和三角肌前束协同。,窄距卧推和臂屈伸主攻三头，但胸和前三角明显参与；应补协同肌。,E15|E4|P0,保留
117,BENCH_DIP,凳上臂屈伸,自重,手臂,,肱三头肌,triceps,,,通过,通过,建议调整,建议调整,凳上臂屈伸,自重,手臂,,肱三头肌,triceps,胸大肌、三角肌前束,chest|deltFront,复合三头推举/臂屈伸补胸大肌和三角肌前束协同。,窄距卧推和臂屈伸主攻三头，但胸和前三角明显参与；应补协同肌。,E15|E4|P0,保留
118,MACHINE_TRICEP_EXT,器械臂屈伸,器械,手臂,,肱三头肌,triceps,,,通过,通过,通过,通过,器械臂屈伸,器械,手臂,,肱三头肌,triceps,,,保留当前名称、分类和肌群。,孤立三头伸展/下压归肱三头肌准确。,E15|P0,保留
119,WRIST_CURL,腕弯举,杠铃,手臂,,前臂,forearms,,,通过,通过,通过,通过,腕弯举,杠铃,手臂,,前臂,forearms,,,保留当前名称、分类和肌群。,腕屈伸归前臂准确。,E16|P0,保留
120,REVERSE_WRIST_CURL,反向腕弯举,杠铃,手臂,,前臂,forearms,,,通过,通过,通过,通过,反向腕弯举,杠铃,手臂,,前臂,forearms,,,保留当前名称、分类和肌群。,腕屈伸归前臂准确。,E16|P0,保留
121,BB_SQUAT,杠铃深蹲,杠铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,杠铃深蹲,杠铃,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,必留，线上有历史
122,FRONT_SQUAT,颈前深蹲,杠铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,颈前深蹲,杠铃,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,必留
123,SMITH_SQUAT,史密斯深蹲,史密斯,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,史密斯深蹲,史密斯,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,必留，线上有历史
124,HACK_SQUAT,哈克深蹲,器械,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,哈克深蹲,器械,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,保留
125,GOBLET_SQUAT,高脚杯深蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,高脚杯深蹲,哑铃,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,保留
126,LEG_PRESS,腿举,器械,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,腿举,器械,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,腿举类补臀、内收和腘绳肌协同。,腿举主股四头，臀/腘绳/内收参与；当前协同缺失。,E18|P0,必留
127,MACHINE_LEG_PRESS,器械倒蹬机,器械,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,器械倒蹬机,器械,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,腿举类补臀、内收和腘绳肌协同。,腿举主股四头，臀/腘绳/内收参与；当前协同缺失。,E18|P0,独立保留，线上有历史
128,LEG_EXTENSION,坐姿腿屈伸,器械,腿,,股四头肌,quads,,,通过,通过,通过,通过,坐姿腿屈伸,器械,腿,,股四头肌,quads,,,保留当前名称、分类和肌群。,腿屈伸主股四头，当前分类和肌群准确。,E18|P0,必留，线上自定义有历史；主流腿部动作
129,MACHINE_SINGLE_LEG_EXTENSION,单腿腿屈伸,器械,腿,,股四头肌,quads,,,通过,通过,通过,通过,单腿腿屈伸,器械,腿,,股四头肌,quads,,,保留当前名称、分类和肌群。,腿屈伸主股四头，当前分类和肌群准确。,E18|P0,保留，线上有历史
130,BULGARIAN_SPLIT_SQUAT,保加利亚分腿蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,保加利亚分腿蹲,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,必留，线上有历史
131,LUNGE,箭步蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,箭步蹲,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,保留，线上有历史
132,WALKING_LUNGE,行走箭步蹲,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,行走箭步蹲,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,保留
133,STEP_UP,箱式登踏,哑铃,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,箱式登踏,哑铃,腿,,股四头肌、臀大肌,quads|glutes,内收肌、腘绳肌,adductors|hams,单腿蹲/箭步/登踏类补臀大肌主动肌，内收/腘绳协同。,箭步、登踏、分腿蹲覆盖股四头和臀部；当前只标股四头偏窄。,E19|P0,保留
134,PISTOL_SQUAT,单腿深蹲,自重,腿,,股四头肌,quads,,,通过,通过,建议调整,建议调整,单腿深蹲,自重,腿,,股四头肌,quads,臀大肌、内收肌、腘绳肌,glutes|adductors|hams,蹲类补臀大肌、内收肌和腘绳肌协同。,蹲类主股四头，但臀大肌、内收肌、腘绳肌协同明显；当前协同缺失。,E17|P0,保留
135,SEATED_LEG_CURL,坐姿腿弯举,器械,腿,,腘绳肌,hams,,,通过,通过,通过,通过,坐姿腿弯举,器械,腿,,腘绳肌,hams,,,保留当前名称、分类和肌群。,腿弯举归腘绳肌准确。,E18|P0,必留，线上有历史
136,LEG_CURL,俯卧腿弯举,器械,腿,,腘绳肌,hams,,,通过,通过,通过,通过,俯卧腿弯举,器械,腿,,腘绳肌,hams,,,保留当前名称、分类和肌群。,腿弯举归腘绳肌准确。,E18|P0,必留
137,STANDING_LEG_CURL,站姿腿弯举,器械,腿,,腘绳肌,hams,,,通过,通过,通过,通过,站姿腿弯举,器械,腿,,腘绳肌,hams,,,保留当前名称、分类和肌群。,腿弯举归腘绳肌准确。,E18|P0,保留
138,ROMANIAN_DL,罗马尼亚硬拉,杠铃,腿,,腘绳肌,hams,臀大肌,glutes,通过,通过,建议调整,建议调整,罗马尼亚硬拉,杠铃,腿,,腘绳肌,hams,臀大肌、竖脊肌/下背,glutes|lowerBack,RDL 保留腘绳肌主导，补竖脊肌协同。,RDL 主腘绳肌并牵涉臀大肌和竖脊肌；当前缺少 lowerBack 协同。,E7|P0,必留，主腿副臀，线上有历史
139,DB_RDL,哑铃罗马尼亚硬拉,哑铃,腿,,腘绳肌,hams,臀大肌,glutes,通过,通过,建议调整,建议调整,哑铃罗马尼亚硬拉,哑铃,腿,,腘绳肌,hams,臀大肌、竖脊肌/下背,glutes|lowerBack,RDL 保留腘绳肌主导，补竖脊肌协同。,RDL 主腘绳肌并牵涉臀大肌和竖脊肌；当前缺少 lowerBack 协同。,E7|P0,保留
140,SUMO_DEADLIFT,相扑硬拉,杠铃,腿,,内收肌、臀大肌,adductors|glutes,,,通过,通过,建议调整,建议调整,相扑硬拉,杠铃,腿,,臀大肌、内收肌,glutes|adductors,腘绳肌、竖脊肌/下背、股四头肌、斜方肌、前臂,hams|lowerBack|quads|traps|forearms,补齐相扑硬拉的后链、下背、股四头和握力协同。,相扑硬拉强调内收肌和臀，同时仍是后链/背部稳定复合动作；建议补齐协同。,E20|E7|P0,保留
141,HIP_ADDUCTION,髋内收,器械,腿,,内收肌,adductors,,,通过,通过,通过,通过,髋内收,器械,腿,,内收肌,adductors,,,保留当前名称、分类和肌群。,髋内收归内收肌准确。,E20|P0,保留，线上有历史
142,SEATED_CALF_RAISE,坐姿提踵,器械,腿,,小腿,calves,,,通过,通过,通过,通过,坐姿提踵,器械,腿,,小腿,calves,,,保留当前名称、分类和肌群。,提踵归小腿准确。,E21|P0,必留
143,STANDING_CALF_RAISE,站姿提踵,器械,腿,,小腿,calves,,,通过,通过,通过,通过,站姿提踵,器械,腿,,小腿,calves,,,保留当前名称、分类和肌群。,提踵归小腿准确。,E21|P0,必留
144,DB_CALF_RAISE,站姿哑铃提踵,哑铃,腿,,小腿,calves,,,通过,通过,通过,通过,站姿哑铃提踵,哑铃,腿,,小腿,calves,,,保留当前名称、分类和肌群。,提踵归小腿准确。,E21|P0,保留，线上有历史
145,HIP_THRUST,杠铃臀冲,杠铃,臀,,臀大肌,glutes,,,通过,通过,建议调整,建议调整,杠铃臀冲,杠铃,臀,,臀大肌,glutes,腘绳肌、腹直肌,hams|abs,臀部伸髋类补腘绳肌和核心稳定协同。,臀推、臀桥、后踢腿主攻臀大肌；可补腘绳肌或核心稳定协同。,E22|P0,必留，线上有历史
146,MACHINE_HIP_THRUST,器械臀推,器械,臀,,臀大肌,glutes,,,通过,通过,建议调整,建议调整,器械臀推,器械,臀,,臀大肌,glutes,腘绳肌、腹直肌,hams|abs,臀部伸髋类补腘绳肌和核心稳定协同。,臀推、臀桥、后踢腿主攻臀大肌；可补腘绳肌或核心稳定协同。,E22|P0,保留
147,GLUTE_BRIDGE,臀桥,自重,臀,,臀大肌,glutes,,,通过,通过,建议调整,建议调整,臀桥,自重,臀,,臀大肌,glutes,腘绳肌、腹直肌,hams|abs,臀部伸髋类补腘绳肌和核心稳定协同。,臀推、臀桥、后踢腿主攻臀大肌；可补腘绳肌或核心稳定协同。,E22|P0,保留，线上自定义有历史
148,DB_GLUTE_BRIDGE,哑铃臀桥,哑铃,臀,,臀大肌,glutes,,,通过,通过,建议调整,建议调整,哑铃臀桥,哑铃,臀,,臀大肌,glutes,腘绳肌、腹直肌,hams|abs,臀部伸髋类补腘绳肌和核心稳定协同。,臀推、臀桥、后踢腿主攻臀大肌；可补腘绳肌或核心稳定协同。,E22|P0,保留
149,CABLE_KICKBACK,绳索后踢腿,绳索,臀,,臀大肌,glutes,,,通过,通过,建议调整,建议调整,绳索后踢腿,绳索,臀,,臀大肌,glutes,腘绳肌、腹直肌,hams|abs,臀部伸髋类补腘绳肌和核心稳定协同。,臀推、臀桥、后踢腿主攻臀大肌；可补腘绳肌或核心稳定协同。,E22|P0,保留
150,GLUTE_KICKBACK_MACHINE,器械后踢腿,器械,臀,,臀大肌,glutes,,,通过,通过,建议调整,建议调整,器械后踢腿,器械,臀,,臀大肌,glutes,腘绳肌、腹直肌,hams|abs,臀部伸髋类补腘绳肌和核心稳定协同。,臀推、臀桥、后踢腿主攻臀大肌；可补腘绳肌或核心稳定协同。,E22|P0,保留
151,DB_SINGLE_LEG_DEADLIFT,单腿哑铃硬拉,哑铃,臀,,腘绳肌、臀大肌,hams|glutes,腘绳肌,hams,通过,通过,建议调整,建议调整,单腿哑铃硬拉,哑铃,臀,,臀大肌,glutes,腘绳肌、竖脊肌/下背,hams|lowerBack,去掉 secondary 中与 primary 重复的 hams；单腿硬拉在臀分类下建议主臀，腘绳/下背协同。,单腿硬拉应归臀/后链，当前 secondary 与 primary 重复，需修正。,E7|E22|P0,主臀副腿
152,HIP_ABDUCTION,髋外展,器械,臀,,臀中肌、臀大肌,gluteMed|glutes,,,通过,通过,建议调整,建议调整,髋外展,器械,臀,,臀中肌,gluteMed,臀大肌,glutes,髋外展主目标应更精确为臀中肌，臀大肌作协同。,髋外展/侧走主攻臀中肌，臀大肌参与；当前 primary 可更精确到臀中肌。,E23|P0,主臀副腿
153,BAND_LATERAL_WALK,弹力带侧走,弹力带,臀,,臀中肌、臀大肌,gluteMed|glutes,,,通过,通过,建议调整,建议调整,弹力带侧走,弹力带,臀,,臀中肌,gluteMed,臀大肌,glutes,弹力带侧走主目标应更精确为臀中肌，臀大肌作协同。,髋外展/侧走主攻臀中肌，臀大肌参与；当前 primary 可更精确到臀中肌。,E23|P0,保留
154,CRUNCH,卷腹,自重,核心,,腹直肌,abs,,,通过,通过,通过,通过,卷腹,自重,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,必留
155,SIT_UP,仰卧起坐,自重,核心,,腹直肌,abs,,,通过,通过,通过,通过,仰卧起坐,自重,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,保留
156,REVERSE_CRUNCH,反向卷腹,自重,核心,,腹直肌,abs,,,通过,通过,通过,通过,反向卷腹,自重,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,保留
157,HANGING_LEG_RAISE,悬挂举腿,自重,核心,,腹直肌,abs,,,通过,通过,通过,通过,悬挂举腿,自重,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,必留，线上有历史
158,PLANK,平板支撑,自重,核心,,腹直肌、腹斜肌,abs|obliques,,,通过,通过,通过,通过,平板支撑,自重,核心,,腹直肌、腹斜肌,abs|obliques,,,保留当前名称、分类和肌群。,平板、死虫、鸟狗是核心稳定类；当前核心分类准确，鸟狗可补下背/臀协同。,E25|P0,必留
159,SIDE_PLANK,侧平板支撑,自重,核心,,腹斜肌,obliques,,,通过,通过,通过,通过,侧平板支撑,自重,核心,,腹斜肌,obliques,,,保留当前名称、分类和肌群。,平板、死虫、鸟狗是核心稳定类；当前核心分类准确，鸟狗可补下背/臀协同。,E25|P0,保留
160,DEAD_BUG,死虫,自重,核心,,腹直肌、腹斜肌,abs|obliques,,,通过,通过,通过,通过,死虫,自重,核心,,腹直肌、腹斜肌,abs|obliques,,,保留当前名称、分类和肌群。,平板、死虫、鸟狗是核心稳定类；当前核心分类准确，鸟狗可补下背/臀协同。,E25|P0,保留
161,BIRD_DOG,鸟狗,自重,核心,,腹直肌、腹斜肌,abs|obliques,,,通过,通过,通过,建议调整,鸟狗,自重,核心,,腹直肌、腹斜肌,abs|obliques,竖脊肌/下背、臀大肌,lowerBack|glutes,鸟狗补竖脊肌和臀部稳定协同。,平板、死虫、鸟狗是核心稳定类；当前核心分类准确，鸟狗可补下背/臀协同。,E25|P0,保留
162,RUSSIAN_TWIST,俄罗斯转体,自重,核心,,腹斜肌,obliques,,,通过,通过,通过,建议调整,俄罗斯转体,自重,核心,,腹斜肌,obliques,腹直肌,abs,俄罗斯转体可补腹直肌稳定协同。,转体和伐木类以腹斜肌为主，当前准确；可按需补腹直肌稳定。,E26|P0,保留
163,CABLE_CRUNCH,绳索卷腹,绳索,核心,,腹直肌,abs,,,通过,通过,通过,通过,绳索卷腹,绳索,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,保留
164,WOODCHOPPER,绳索伐木,绳索,核心,,腹斜肌,obliques,,,通过,通过,通过,建议调整,绳索伐木,绳索,核心,,腹斜肌,obliques,腹直肌,abs,绳索伐木可补腹直肌稳定协同。,转体和伐木类以腹斜肌为主，当前准确；可按需补腹直肌稳定。,E26|P0,保留
165,LYING_LEG_RAISE,仰卧抬腿,自重,核心,,腹直肌,abs,,,通过,通过,通过,通过,仰卧抬腿,自重,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,保留
166,INCLINE_CRUNCH,上斜卷腹,自重,核心,,腹直肌,abs,,,通过,通过,通过,通过,上斜卷腹,自重,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,保留
167,INCLINE_TWIST_CRUNCH,上斜卷腹转体,自重,核心,,腹斜肌,obliques,,,通过,通过,通过,建议调整,上斜卷腹转体,自重,核心,,腹斜肌,obliques,腹直肌,abs,转体卷腹可补腹直肌稳定协同。,转体和伐木类以腹斜肌为主，当前准确；可按需补腹直肌稳定。,E26|P0,保留，线上有历史
168,PLANK_BUTTERFLY_CRUNCH,平板蝴蝶收腹,自重,核心,,腹直肌,abs,,,通过,通过,通过,通过,平板蝴蝶收腹,自重,核心,,腹直肌,abs,,,保留当前名称、分类和肌群。,卷腹、举腿、绳索卷腹主腹直肌，当前准确。,E24|P0,保留，线上有历史
169,AB_WHEEL,健腹轮,自重,核心,,腹直肌,abs,,,通过,通过,建议调整,建议调整,健腹轮,自重,核心,,腹直肌,abs,腹斜肌、三角肌前束、背阔肌,obliques|deltFront|lats,健腹轮补腹斜肌和肩背稳定协同。,健腹轮主腹直肌，但强依赖腹斜肌与肩背稳定；建议补 obliques 协同。,E24|E25|P0,保留
170,BATTLE_ROPE,战绳,自重,功能性,,三角肌前束、前臂,deltFront|forearms,,,通过,建议调整,建议调整,建议调整,战绳,其他,功能性,动态控制,三角肌前束、前臂、腹直肌,deltFront|forearms|abs,腹斜肌、股四头肌、臀大肌,obliques|quads|glutes,战绳不是自重；建议 equipmentType=其他，并归功能性/动态控制，补核心和下肢协同。,全身体能/功能动作，不适合归单一解剖类；应补充核心/下肢协同和正确器械。,E28|P0,保留
171,BURPEE,波比跳,自重,功能性,,股四头肌、胸大肌,quads|chest,,,通过,建议调整,建议调整,建议调整,波比跳,自重,功能性,动态控制,股四头肌、胸大肌,quads|chest,肱三头肌、三角肌前束、腹直肌、臀大肌、腘绳肌,triceps|deltFront|abs|glutes|hams,波比跳建议归动态控制而非爆发奥举；补上肢、核心和后链协同。,全身体能/功能动作，不适合归单一解剖类；应补充核心/下肢协同和正确器械。,E28|P0,保留
172,KETTLEBELL_SWING,壶铃摆荡,壶铃,功能性,,臀大肌、腘绳肌,glutes|hams,,,通过,通过,通过,建议调整,壶铃摆荡,壶铃,功能性,负重搬运,臀大肌、腘绳肌,glutes|hams,竖脊肌/下背、前臂,lowerBack|forearms,运行时会按“摆荡”归负重搬运；建议在 JSON 显式写入并补下背/前臂协同。,功能性动作分类合理，但部分器械和浏览子类需要更精确。,E27|P0,保留
173,TURKISH_GET_UP,土耳其起立,自重,功能性,,腹直肌、三角肌前束,abs|deltFront,,,通过,建议调整,建议调整,建议调整,土耳其起立,壶铃,功能性,动态控制,腹直肌、三角肌前束、臀大肌,abs|deltFront|glutes,腹斜肌、股四头肌、前臂,obliques|quads|forearms,土耳其起立通常以壶铃/负重记录；建议从运行时“爆发奥举”改为动态控制。,功能性动作分类合理，但部分器械和浏览子类需要更精确。,E27|P0,保留
174,FARMER_CARRY,农夫行走,自重,功能性,,前臂、斜方肌,forearms|traps,,,通过,建议调整,建议调整,建议调整,农夫行走,其他,功能性,负重搬运,前臂、斜方肌、腹直肌、腹斜肌,forearms|traps|abs|obliques,臀大肌、小腿,glutes|calves,农夫行走不是自重；建议 equipmentType=其他，补核心抗侧屈。,功能性动作分类合理，但部分器械和浏览子类需要更精确。,E27|P0,保留
175,SHOULDER_WARMUP,肩部热身,自重,热身拉伸,动态热身,,,,,建议改名,通过,通过,建议调整,肩部动态热身,自重,热身拉伸,动态热身,,,,,名称可更具体，避免像单一力量动作；保留热身拉伸/动态热身。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,覆盖线上“练肩热身”
176,BAND_SHOULDER_PASS_THROUGH,弹力带绕肩,自重,热身拉伸,动态热身,,,,,通过,建议调整,通过,建议调整,弹力带绕肩,弹力带,热身拉伸,动态热身,,,,,名称已说明弹力带，equipmentType 不应是自重。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,线上自定义有历史
177,PRONE_ARM_CIRCLE,俯卧臂画圈,自重,热身拉伸,动态热身,,,,,通过,通过,通过,通过,俯卧臂画圈,自重,热身拉伸,动态热身,,,,,保留当前名称、分类和肌群。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,线上自定义有历史
178,CAT_COW,猫牛式,自重,热身拉伸,动态热身,,,,,通过,通过,通过,通过,猫牛式,自重,热身拉伸,动态热身,,,,,保留当前名称、分类和肌群。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,保留
179,DOWNWARD_DOG,下犬式,自重,热身拉伸,静态拉伸,,,,,通过,通过,通过,通过,下犬式,自重,热身拉伸,静态拉伸,,,,,保留当前名称、分类和肌群。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,保留
180,THORACIC_ROTATION,胸椎旋转,自重,热身拉伸,动态热身,,,,,通过,通过,通过,通过,胸椎旋转,自重,热身拉伸,动态热身,,,,,保留当前名称、分类和肌群。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,保留
181,FOAM_ROLL_BACK,泡沫轴背部放松,其他,热身拉伸,泡沫轴放松,,,,,通过,通过,通过,通过,泡沫轴背部放松,其他,热身拉伸,泡沫轴放松,,,,,保留当前名称、分类和肌群。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,保留
182,FOAM_ROLL_CALF,泡沫轴小腿放松,其他,热身拉伸,泡沫轴放松,,,,,通过,通过,通过,通过,泡沫轴小腿放松,其他,热身拉伸,泡沫轴放松,,,,,保留当前名称、分类和肌群。,热身拉伸/泡沫轴动作不进入解剖高亮是合理的；重点检查名称、器械和子分类。,E29|E30|E31|P0,保留
183,CABLE_SINGLE_ARM_PULLDOWN,单臂绳索下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,基本准确,建议合并,通过,建议调整,单臂绳索下拉,绳索,背,,背阔肌,lats,肱二头肌、三角肌后束,biceps|deltRear,与“单臂高位下拉”高度重叠；建议做 legacy alias 到 SINGLE_ARM_LAT_PULLDOWN，除非产品要区分高位滑轮和普通绳索下拉。,垂直拉类主目标为背阔肌，二头和后三角参与；当前大方向正确。,E5|P0,保留，覆盖线上自定义旧名称
